date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:59:06	30720/30720	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/about.html	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/about.html	(from )
14:59:07	327/327	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Dec%202018%2009:29:07%20GMT	http://iglyphic.com/robots.txt		(from )
14:59:08	1463/1463	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/images/favicon.png	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/images/favicon.png	(from http://iglyphic.com/themes/html/html_elevation/about.html)
14:59:10	31000/31000	---M--	200	added ('OK')	text/css	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/css/font-awesome.min.css	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/css/font-awesome.min.css	(from http://iglyphic.com/themes/html/html_elevation/about.html)
14:59:10	51284/51284	---M--	200	added ('OK')	text/css	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/css/ionicons.min.css	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/css/ionicons.min.css	(from http://iglyphic.com/themes/html/html_elevation/about.html)
14:59:12	5719/5719	---M--	200	added ('OK')	text/css	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/css/roundslider.css	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/css/roundslider.css	(from http://iglyphic.com/themes/html/html_elevation/about.html)
14:59:14	6951/6951	---M--	200	added ('OK')	text/css	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/css/magnific-popup.css	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/css/magnific-popup.css	(from http://iglyphic.com/themes/html/html_elevation/about.html)
14:59:14	121200/121200	---M--	200	added ('OK')	text/css	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/css/bootstrap.min.css	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/css/bootstrap.min.css	(from http://iglyphic.com/themes/html/html_elevation/about.html)
14:59:14	11552/11552	---M--	200	added ('OK')	text/css	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/css/menuzord.css	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/css/menuzord.css	(from http://iglyphic.com/themes/html/html_elevation/about.html)
14:59:15	1767/1767	---M--	200	added ('OK')	text/css	date:Mon,%2017%20Jul%202017%2023:38:54%20GMT	http://iglyphic.com/themes/html/html_elevation/css/slick.css	C:/Users/Hailly/Desktop/demo/iglyphic.com/themes/html/html_elevation/css/slick.css	(from http://iglyphic.com/themes/html/html_elevation/about.html)
